"","t","DS","NS","PS3","PS4","PS5","PSP","PSV","ThreeDS","Wii","WiiU","x360","XOne","XS"
"90",2006-08-12,55963,NA,NA,NA,NA,34236,NA,NA,NA,NA,43407,NA,NA
"91",2006-08-19,55808,NA,NA,NA,NA,33222,NA,NA,NA,NA,44469,NA,NA
"92",2006-08-26,70143,NA,NA,NA,NA,32281,NA,NA,NA,NA,49292,NA,NA
"93",2006-09-02,76149,NA,NA,NA,NA,31125,NA,NA,NA,NA,52211,NA,NA
"94",2006-09-09,81936,NA,NA,NA,NA,30011,NA,NA,NA,NA,55633,NA,NA
"95",2006-09-16,83035,NA,NA,NA,NA,29804,NA,NA,NA,NA,55938,NA,NA
"96",2006-09-23,84179,NA,NA,NA,NA,29601,NA,NA,NA,NA,56250,NA,NA
"97",2006-09-30,81470,NA,NA,NA,NA,30072,NA,NA,NA,NA,53669,NA,NA
"98",2006-10-07,75775,NA,NA,NA,NA,27870,NA,NA,NA,NA,52432,NA,NA
"99",2006-10-14,74484,NA,NA,NA,NA,24920,NA,NA,NA,NA,46277,NA,NA
"100",2006-10-21,81475,NA,NA,NA,NA,28299,NA,NA,NA,NA,47939,NA,NA
"101",2006-10-28,95303,NA,NA,NA,NA,38690,NA,NA,NA,NA,57315,NA,NA
"102",2006-11-04,114921,NA,NA,NA,NA,54921,NA,NA,NA,NA,67898,NA,NA
"103",2006-11-11,146043,NA,0,NA,NA,64450,NA,NA,NA,NA,92911,NA,NA
"104",2006-11-18,171207,NA,139044,NA,NA,73908,NA,NA,NA,NA,107448,NA,NA
"105",2006-11-25,438602,NA,57628,NA,NA,186201,NA,NA,463466,NA,240843,NA,NA
"106",2006-12-02,264447,NA,84359,NA,NA,147545,NA,NA,153381,NA,187192,NA,NA
"107",2006-12-09,318512,NA,97572,NA,NA,189573,NA,NA,111830,NA,238773,NA,NA
"108",2006-12-16,368564,NA,109556,NA,NA,229212,NA,NA,135970,NA,287346,NA,NA
"109",2006-12-23,462146,NA,94899,NA,NA,267869,NA,NA,128728,NA,332655,NA,NA
"110",2006-12-30,134299,NA,84704,NA,NA,82649,NA,NA,81954,NA,103420,NA,NA
"111",2007-01-06,73966,NA,56379,NA,NA,49356,NA,NA,72129,NA,61531,NA,NA
"112",2007-01-13,37215,NA,50655,NA,NA,46905,NA,NA,84524,NA,56904,NA,NA
"113",2007-01-20,37365,NA,47894,NA,NA,46039,NA,NA,86793,NA,56038,NA,NA
"114",2007-01-27,37516,NA,45541,NA,NA,45219,NA,NA,89256,NA,55208,NA,NA
"115",2007-02-03,75470,NA,43207,NA,NA,45036,NA,NA,82651,NA,57052,NA,NA
"116",2007-02-10,107308,NA,36828,NA,NA,43335,NA,NA,82166,NA,56712,NA,NA
"117",2007-02-17,156804,NA,27356,NA,NA,41788,NA,NA,89638,NA,60939,NA,NA
"118",2007-02-24,176072,NA,24545,NA,NA,40406,NA,NA,84187,NA,54955,NA,NA
"119",2007-03-03,134110,NA,28513,NA,NA,39870,NA,NA,70412,NA,47338,NA,NA
"120",2007-03-10,128909,NA,38801,NA,NA,38600,NA,NA,60821,NA,42029,NA,NA
"121",2007-03-17,123607,NA,28770,NA,NA,37760,NA,NA,56527,NA,39602,NA,NA
"122",2007-03-24,123049,NA,24774,NA,NA,35204,NA,NA,50970,NA,36857,NA,NA
"123",2007-03-31,119059,NA,22981,NA,NA,35194,NA,NA,47408,NA,36802,NA,NA
